Sh_per_90,Position
1.15,FW
2.42,FW
2.81,FW
3.41,FW
2.75,FW
0.95,FW
2.78,FW
1.54,FW
0.38,FW
0.0,FW
3.87,FW
1.0,FW
1.33,FW
2.45,FW
1.54,FW
1.87,FW
1.8,FW
1.74,FW
1.74,FW
4.58,FW
0.52,FW
0.74,FW
1.89,FW
1.61,FW
2.02,FW
3.06,FW
1.6,FW
0.47,FW
1.61,FW
3.44,FW
2.6,FW
3.0,FW
1.08,FW
4.37,FW
0.64,FW
3.48,FW
2.0,FW
3.73,FW
1.82,FW
0.56,FW
0.83,FW
1.42,FW
3.03,FW
2.09,FW
3.86,FW
1.34,FW
0.58,FW
1.95,FW
0.0,FW
2.37,FW
1.64,FW
0.57,FW
2.79,FW
4.04,FW
1.07,FW
0.0,FW
2.11,FW
1.73,FW
2.52,FW
3.79,FW
1.67,FW
2.9,FW
5.11,FW
0.38,FW
2.31,FW
3.17,FW
2.21,FW
2.37,FW
2.45,FW
2.06,FW
2.69,FW
4.26,FW
4.26,FW
0.71,FW
5.31,FW
2.36,FW
3.0,FW
3.14,FW
3.07,FW
1.7,FW
0.33,MF
0.0,MF
2.81,MF
0.34,MF
0.5,MF
1.61,MF
3.44,MF
0.0,MF
0.0,MF
0.61,MF
1.32,MF
1.0,MF
0.75,MF
1.72,MF
2.08,MF
1.63,MF
2.24,MF
0.83,MF
4.0,MF
0.41,MF
1.47,MF
2.0,MF
1.76,MF
1.33,MF
1.44,MF
0.5,MF
0.71,MF
3.19,MF
1.0,MF
0.69,MF
2.69,MF
2.73,MF
0.56,MF
0.0,MF
0.54,MF
0.37,MF
1.73,MF
1.77,MF
2.69,MF
1.38,MF
0.87,MF
0.76,MF
1.0,MF
0.9,MF
1.66,MF
2.93,MF
1.86,MF
1.02,MF
0.33,MF
0.0,MF
0.67,MF
0.88,MF
2.67,MF
1.94,MF
4.71,MF
0.66,MF
0.0,MF
2.26,MF
0.0,MF
0.91,MF
0.71,MF
1.03,MF
0.68,MF
1.1,MF
0.46,MF
1.0,MF
2.79,MF
2.73,MF
0.0,MF
0.65,MF
2.0,MF
0.0,MF
1.02,MF
0.0,MF
1.13,MF
1.35,MF
1.2,MF
0.38,MF
1.36,MF
1.33,MF
